date,Close,High,Low,Open,Volume,VIX_Close,RSI_14,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-04-24,49.40851974487305,49.72334332507646,49.38228414324906,49.45621984620272,70162400,13.140000343322754,82.00016029875428,0.7675042954280265,1.4398211339858094,0.03790713272104629,1.401914001264763
2019-04-25,48.96010971069336,49.551598718996146,48.92194819034275,49.32979170561368,74172800,13.25,74.32998894152105,0.757657597801267,1.3986062845251936,-0.0026461733916556263,1.4012524579168493
2019-04-26,48.726383209228516,48.893335333730924,48.20644243374002,48.86948347053771,74596400,12.729999542236328,70.62192482647345,0.7573725748835577,1.3317320657765208,-0.05561631371226272,1.3873483794887835
2019-04-29,48.80033493041992,49.12470072433398,48.621456815525065,48.75024745696415,88818800,13.109999656677246,71.11295846410698,0.7392205273067973,1.27006058365221,-0.09383023666925894,1.363890820321469
2019-04-30,47.860618591308594,48.51173378273669,47.4885527676354,48.43064325999435,186139600,13.119999885559082,57.87522149963597,0.7801177869837779,1.1323057192251156,-0.18526808087708302,1.3175738001021986
2019-05-01,50.20988464355469,51.352317692477015,49.90221231353754,50.05724216362862,259309200,14.800000190734863,71.93870306611794,0.9738021665683954,1.1988801889360587,-0.09495488893291193,1.2938350778689707
2019-05-02,49.883140563964844,50.71790507301995,49.63986895589644,50.04770900660693,127985200,14.420000076293945,68.51270930810058,0.9812474487509035,1.2113121666746522,-0.06601832895545501,1.2773304956301073
2019-05-03,50.50325012207031,50.5247146205948,50.14072282120273,50.29813642228416,83569600,12.869999885559082,71.3056735760144,0.9569850635994074,1.2567156220546138,-0.016491898860394816,1.2732075209150087
2019-05-06,49.72333908081055,49.809200711588794,48.53558955444818,48.72400621236716,129772400,15.4399995803833,63.65776324610533,1.0291761710296021,1.2157514584819609,-0.045964849946438235,1.261716308428399
2019-05-07,48.38294219970703,49.47052032079765,47.898779164566115,49.10322560559148,155054800,19.31999969482422,53.11389694256157,1.0859892956878043,1.0628760639312347,-0.15907219559773167,1.2219482595289664
2019-05-08,48.39247512817383,48.97442565064983,48.118196898961244,48.1539710543252,105358000,19.399999618530273,53.17330148620161,1.0695778282592885,0.9317498082044438,-0.23215876105961808,1.1639085692640618
2019-05-09,47.87254333496094,48.10150523340118,46.904217269389115,47.79622027595835,139634400,19.100000381469727,49.49031229407194,1.0994835447253903,0.776921290347893,-0.30958982313293504,1.086511113480828
2019-05-10,47.20934295654297,47.60918188331269,46.15349214662306,47.26680569139999,164834800,16.040000915527344,45.1906126291927,1.1437383764119966,0.5938582186451953,-0.3941223158685062,0.9879805345137015
2019-05-13,44.465572357177734,45.36580015551606,43.778430559260165,44.942024719152,229722400,20.549999237060547,32.57957005920314,1.30710794933134,0.22478883296129482,-0.6105533612419254,0.8353421942032202
2019-05-14,45.16946792602539,45.418465818898284,44.39134448751161,44.63076708397739,146118800,18.059999465942383,37.405531374027795,1.2871089051924354,-0.010778575777116828,-0.6768966159842696,0.6661180402071528
