date,Close,High,Low,Open,Volume,VIX_Close,RSI_14,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-04-24,117.19722747802734,117.98472639979519,116.73784595441734,117.9284785204057,31257000,13.140000343322754,78.93744312857649,1.4327121269424314,2.226688028707997,0.33734250505338226,1.8893455236546148
2019-04-25,121.0784912109375,123.15974874862361,120.7784977280671,121.93162226484172,38033900,13.25,85.4725350782008,1.7562699229177055,2.577098719797604,0.5502025569143911,2.026896162883213
2019-04-26,121.77224731445312,122.36287870070032,120.95662439451826,121.59411948017802,23654900,12.729999542236328,86.29129288810147,1.7312688074365883,2.877610731389879,0.6805716548053331,2.197039076584546
2019-04-29,121.6597671508789,122.04413250527764,121.26601761126727,121.78163281220323,16324200,13.109999656677246,85.45041371587247,1.6631863850490014,3.071288553846415,0.6993995818094954,2.3718889720369196
2019-04-30,122.43789672851562,122.53163844481175,121.3035118115972,121.69726135242597,24166500,13.119999885559082,86.43519723275222,1.6321106884893974,3.250103012917606,0.7025712327045488,2.547531780213057
2019-05-01,119.88786315917969,122.48474293418654,119.71911235828031,122.37224716863975,26821700,14.800000190734863,69.76916215893044,1.7130763947334569,3.149740119047223,0.48176667106733273,2.6679734479798904
2019-05-02,118.322265625,120.00039703560451,117.67538619590401,119.98165012070335,27350200,14.420000076293945,61.880322212549515,1.7567859979453884,2.910322776461541,0.1938794627853202,2.716443313676221
2019-05-03,120.84412384033203,121.34099925657146,119.29724970376166,119.400375599877,24911100,12.869999885559082,68.13119471246634,1.8469251146329653,2.890752889602254,0.13944766074082615,2.751305228861428
2019-05-06,120.1409683227539,120.52534787271694,118.2284690606323,118.49096867886162,24239800,15.4399995803833,64.9339305610171,1.901834376423448,2.7863851262492574,0.028063917910263303,2.758321208338994
2019-05-07,117.67536163330078,119.23161989075442,116.45661214684846,118.5566166539109,36017700,19.31999969482422,55.1591470098335,2.029157362100734,2.4761752609166194,-0.2257167579378998,2.7018920188545192
2019-05-08,117.66600036621094,118.47225349672027,116.95349610266268,117.60037544408019,28419000,19.399999618530273,55.12521721051531,1.9927002215262235,2.20416805439622,-0.3981791715666394,2.6023472259628595
2019-05-09,117.65660858154297,117.92848526844728,115.84722778099854,116.5222309826121,27235800,19.100000381469727,55.08860518979913,1.9990257405206888,1.9651890686942437,-0.5097265258148926,2.4749155945091363
2019-05-10,119.18473815917969,119.93474332169248,116.0816059256272,117.10348778073639,30915100,16.040000915527344,59.77043343788966,2.1314622873453026,1.8774615781842954,-0.47796321305987277,2.355424791244168
2019-05-13,115.6409683227539,117.70347876312313,115.35034474515417,116.35347244961446,33944900,20.549999237060547,47.42387355008085,2.2531002249653174,1.504639750198848,-0.6806280328362564,2.1852677830351044
2019-05-14,116.93473052978516,118.0128530566601,115.9690966117004,116.12847752793819,25266300,18.059999465942383,51.37308103958218,2.261584832746809,1.2986020866663068,-0.709332557095038,2.007934643761345
2019-05-15,118.58142852783203,119.23070227302496,116.39837119308541,116.92532101806226,24722700,16.440000534057617,55.91231759145786,2.302352421832005,1.2537382066868048,-0.6033571496596322,1.857095356346437
2019-05-16,121.31964874267578,121.74309810270357,118.9954513338714,119.2683343805284,30112200,15.289999961853027,62.22669014088383,2.363732218477686,1.4227343496911402,-0.34748880532423754,1.7702231550153777
2019-05-17,120.51044464111328,122.75937001525946,120.3692900462168,120.73626901996914,25770500,15.960000038146973,59.51396254108988,2.3656142006608984,1.4743733442315232,-0.2366798486270838,1.711053192858607
2019-05-20,118.76963806152344,120.05876674668245,118.33679125243556,119.05192571316036,23706900,16.309999465942383,54.05463043272108,2.3519027140906714,1.3591615091692972,-0.2815133469514479,1.6406748561207452
