date,Close,High,Low,Open,Volume,VIX_Close,RSI_14,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-04-22,62.217899322509766,62.24668118372701,61.206043876380306,61.369807441901315,19084000,12.420000076293945,69.01576506484184,0.752937731916472,0.7446154964001863,0.21935312818483987,0.5252623682153464
2019-04-23,63.0530891418457,63.243650659904674,62.12907098537665,62.360821384365515,31868000,12.279999732971191,73.49053441793463,0.7787692992458686,0.8661298715571206,0.27269400267341926,0.5934358688837014
2019-04-24,62.5300407409668,63.22231228489113,62.51813348565007,63.053089174036955,23396000,13.140000343322754,66.9676962014837,0.7734414063883825,0.9097383571904984,0.25304199064543764,0.6566963665450608
2019-04-25,62.891807556152344,63.16275913114883,62.428310556744194,63.038696513815154,31344000,13.25,69.016087800694,0.7706562041038294,0.9623960521922399,0.24455974851774331,0.7178363036744966
2019-04-26,63.39202880859375,63.465971161794066,62.7756873022019,63.1915439427967,27228000,12.729999542236328,71.63529849684721,0.7649153223529962,1.032588294314948,0.2518015925123611,0.7807867018025869
2019-04-29,64.32398223876953,64.36219903675915,63.108666103374446,63.545365145430786,72368000,13.109999656677246,75.74857739271518,0.7998165802838325,1.150158691612404,0.2954975918478536,0.8546610997645504
2019-04-30,59.498451232910156,59.59869177332872,58.7064351092246,59.08507447945346,133178000,13.119999885559082,41.88192987380562,1.1439401909453395,0.8442223848496866,-0.00835097193189105,0.8525733567815776
2019-05-01,58.2260627746582,59.51284144439897,58.144676967482674,59.4259960943342,74340000,14.800000190734863,37.16373017149878,1.1599562113718367,0.4934068557038245,-0.2873332008622026,0.7807400565660271
2019-05-02,57.88811492919922,58.52679056579898,57.48218164489478,58.19033204544976,45098000,14.420000076293945,36.00359098273828,1.151717119195577,0.18596971151357167,-0.4758162760419644,0.6617859875555361
2019-05-03,59.03147506713867,59.123280191761495,58.23747507908704,58.42902476029962,41588000,12.869999885559082,42.539125038626864,1.1576777008646268,0.034189057279753854,-0.5020775442206258,0.5362666015003796
2019-05-06,59.22551345825195,59.323274111682785,58.11887315958226,58.16055802052,31774000,15.4399995803833,43.59194926613971,1.1610150759529054,-0.06963818258419963,-0.48472382726766344,0.4150856446834638
2019-05-07,58.50098419189453,59.2905166064631,57.813180247113,58.84587812003669,36604000,19.31999969482422,40.600587715638994,1.1836094533384192,-0.20798791959347795,-0.49845885142155344,0.2904709318280755
2019-05-08,58.100013732910156,58.76945512946755,57.94369362397736,58.42306948603235,25520000,19.399999618530273,39.005341120922004,1.1580488856349744,-0.345997602928918,-0.5091748278055948,0.1631772248766768
2019-05-09,57.96056365966797,58.26327674387024,57.299061704059284,57.694079675982636,29556000,19.100000381469727,38.439667173939384,1.144203610933259,-0.4613060774483273,-0.4995866418600033,0.038280564411675974
2019-05-10,57.94418716430664,58.372946763015875,56.88866300871486,58.003738580940315,31650000,16.040000915527344,38.36929308302604,1.1684950497452418,-0.5476968126425206,-0.4687819016433572,-0.07891491099916334
2019-05-13,56.4033317565918,57.166565996341326,55.85299318344786,56.83259114889159,45626000,20.549999237060547,32.36532056585873,1.2344021162533518,-0.7320575429668779,-0.5225141055741716,-0.20954343739270626
2019-05-14,55.821231842041016,56.81422878558775,55.755228922522,56.68768627545845,40392000,18.059999465942383,30.428221637803755,1.2218733838828089,-0.9145924953165974,-0.5640392463391128,-0.3505532489774845
2019-05-15,58.101009368896484,58.47319724338551,55.64953069071298,55.7065984380292,59302000,16.440000534057617,44.45083704890305,1.3362871816535036,-0.865318908886259,-0.41181252792701956,-0.4535063809592394
2019-05-16,58.7808723449707,59.26025204154628,57.984392383760394,58.15261976464387,35308000,15.289999961853027,47.82796343844068,1.331970929948674,-0.7626189794447669,-0.24729007878842202,-0.5153289006563448
2019-05-17,58.00075912475586,58.869693387821954,57.883643988575166,58.35061659974741,25362000,15.960000038146973,44.48591132783039,1.3072622491842536,-0.7356965112163536,-0.17629408844800698,-0.5594024227683466
2019-05-20,56.80380630493164,57.217679002864074,56.480250796098304,57.217679002864074,30602000,16.309999465942383,39.88118845276281,1.3224941120037752,-0.8017028193285967,-0.19384031724819994,-0.6078625020803967
2019-05-21,57.28913497924805,57.465801526278995,56.73680876347256,57.29111889058156,20562000,14.949999809265137,42.480966021723,1.2801011584896795,-0.8055652711026511,-0.1581622152178035,-0.6474030558848476
2019-05-22,57.359107971191406,57.75263421569003,57.11842619937327,57.130833217876464,18826000,14.75,42.864594023379254,1.233965934048757,-0.7938292864275525,-0.11714098443416388,-0.6766883019933886
2019-05-23,56.83754348754883,57.07127776681528,56.233113115580046,56.873772584791894,25214000,16.920000076293945,40.686334932234196,1.2262537141603715,-0.8171942226401683,-0.11240473651742366,-0.7047894861227446
2019-05-24,56.503578186035156,57.28517120875641,56.40928937952739,57.168056060518985,18554000,15.850000381469727,39.30887352856422,1.2012271509509895,-0.8528284363447085,-0.11843116017757105,-0.7343972761671375
2019-05-28,56.550716400146484,57.390868798082145,56.50654786913404,56.64599715202882,20948000,17.5,39.61960360380584,1.1788031124578469,-0.8672678238895912,-0.10629643817796297,-0.7609713857116283
2019-05-29,55.57706832885742,56.32441978753996,55.180562476534426,56.21028053090145,36230000,17.899999618530273,35.5688026450399,1.1924710275402906,-0.9463672719675884,-0.148316709004768,-0.7980505629628204
2019-05-30,55.65001678466797,55.91749648322339,55.376581566270126,55.58748950545776,18088000,17.299999237060547,36.09598119061929,1.145931305355503,-0.9917357117706729,-0.15494811904628203,-0.8367875927243908
2019-05-31,54.91011047363281,55.25252069352726,54.753790377667556,54.86743366386435,31582000,18.709999084472656,33.13463595394122,1.1280952411872822,-1.0750028194850643,-0.1905721814085387,-0.8844306380765256
2019-06-03,51.54751968383789,52.94992167307215,50.96641158625489,52.946449828100434,96890000,18.860000610351562,23.64185110489974,1.3292097873437565,-1.396230698282146,-0.4094400481644963,-0.9867906501176497
2019-06-04,52.3291130065918,52.52513405659916,51.41303433315086,51.83286255141034,60512000,16.969999313354492,28.751363936141196,1.313701925636938,-1.5696441764558173,-0.4662828210705341,-1.1033613553852832
2019-06-05,51.840309143066406,52.44424740714658,51.26267663743421,52.35442619047706,46988000,16.09000015258789,27.511492303341296,1.3042639859280398,-1.7266146550046741,-0.49860263969551255,-1.2280120153091616
2019-06-06,51.995140075683594,52.10629969708444,51.38723400310241,51.918221858095734,29020000,15.930000305175781,28.562372189581737,1.2624641079318963,-1.8175695178754268,-0.471646002053012,-1.3459235158224148
2019-06-07,53.01791000366211,53.269014889801966,52.16336664116216,52.318694793669955,43828000,16.299999237060547,35.24102393109684,1.2632791583737875,-1.7865289231020824,-0.35248432582373423,-1.4340445972783482
2019-06-10,53.732017517089844,54.331488188465315,53.36082161243836,53.446175241234826,28510000,15.9399995803833,39.494344158516434,1.2668719459758888,-1.6848842232985106,-0.20067170081612984,-1.4842125224823808
2019-06-11,53.64665603637695,54.7865456360504,53.573709432341026,54.43817609864667,33508000,15.989999771118164,39.16322101795364,1.263012250099709,-1.5928565655229718,-0.08691523443247284,-1.505941331090499
2019-06-12,53.55038833618164,53.72010362901701,53.078948132983314,53.59256917046261,23670000,15.90999984741211,38.768457969967706,1.2185939105235655,-1.5102823873323743,-0.0034728449935002015,-1.506809542338874
2019-06-13,54.141422271728516,54.41832937159558,53.722589776777944,53.82878583415128,20814000,15.819999694824219,42.59432128535404,1.193547276587164,-1.3812283168279436,0.10046498040874452,-1.481693297236688
2019-06-14,53.907684326171875,54.32751253464041,53.66849427776035,54.07839535714609,24582000,15.279999732971191,41.49023841441609,1.1553666323223708,-1.2830228462283841,0.1589363608066432,-1.4419592070350273
